path,page_type,technical,content,trust,internalLinking,schemaIndexability,conversionRevenue,performanceUx,overall
/404,other,20,9.73,10.0,9.5,6,8,5,68.23
/about,trust,20,10.03,7.5,9.5,3,8,5,63.03
/accessibility,other,19,15.42,12.5,11.75,6,6,5,75.67
/advertise,other,20,15.57,15.0,11.75,6,6,5,79.32
/affiliate-disclosure,trust,20,16.74,15.0,11.3,6,6,5,80.04
/best-cloud-hosting-2026,best_of,19,20,15.0,11.3,8,10,5,88.3
/best-crm-software-2026,best_of,19,20,15.0,12,8,10,5,89.0
/best-ecommerce-platform-2026,best_of,19,20,15.0,11.75,8,10,5,88.75
/best-finance-software-2026,best_of,19,20,15.0,11.3,8,10,5,88.3
/best-hr-software-2026,best_of,20,20,15.0,11.75,8,10,5,89.75
/best-marketing-automation-software-2026,best_of,19,20,15.0,11.75,8,10,5,88.75
/best-password-manager-business-2026,best_of,19,20,15.0,12,8,10,5,89.0
/best-project-management-software-2026,best_of,20,20,15.0,12,8,10,5,90.0
/best-seo-tools-2026,pricing,19,20,15.0,12,8,10,5,89.0
/best-video-conferencing-software-2026,best_of,19,20,15.0,11.75,8,10,5,88.75
/best-vpn-for-business-2026,pricing,19,20,15.0,12,8,10,5,89.0
/contact,trust,19,10.26,10.0,9.5,3,8,5,64.76
/cookie-policy,other,19,15.73,12.5,11.75,6,6,5,75.98
/corrections,other,20,14.38,12.5,9.05,6,5,5,71.92
/deal-radar,coupon,19,10.64,10.0,11.75,3,10,4,68.39
/dmca,other,19,15.68,12.5,11.75,6,6,5,75.92
/editorial-policy,review,19,15.0,15.0,9.05,6,6,5,75.05
/fo-verify-c0ceba67-f661-491b-9895-78e0a0a9eb9f,other,17,6.03,5.0,3.0,5,0,5,41.02
/fo-verify,other,17,10.06,5.0,3.0,5,0,5,45.06
/,pricing,19,17,17.5,12,6,8,4,83.5
/media-kit,other,20,15.22,10.0,9.5,6,6,5,71.72
/methodology,trust,20,15.82,17.5,12,6,6,5,82.32
/newsletter,pricing,20,10.25,12.5,9.5,6,8,5,71.25
